locus_tag,essentiality
H16_A0037,0
H16_A0038,0
H16_A0039,0
H16_A0042,0
H16_A0044,0
H16_A0045,0
H16_A0065,0
H16_A0068,0
H16_A0073,0
H16_A0100,0
H16_A0101,0
H16_A0108,2
H16_A0111,2
H16_A0112,2
H16_A0124,0
H16_A0125,0
H16_A0135,2
H16_A0136,2
H16_A0142,0
H16_A0143,0
H16_A0147,0
H16_A0150,0
H16_A0151,0
H16_A0159,2
H16_A0167,0
H16_A0168,0
H16_A0169,2
H16_A0170,0
H16_A0172,0
H16_A0174,0
H16_A0177,1
H16_A0179,0
H16_A0180,0
H16_A0181,0
H16_A0182,0
H16_A0183,0
H16_A0185,0
H16_A0186,0
H16_A0190,0
H16_A0197,0
H16_A0208,2
H16_A0211,0
H16_A0220,0
H16_A0224,0
H16_A0227,0
H16_A0228,0
H16_A0229,0
H16_A0230,2
H16_A0232,0
H16_A0233,0
H16_A0234,0
H16_A0235,0
H16_A0236,0
H16_A0237,1
H16_A0238,2
H16_A0239,2
H16_A0240,0
H16_A0243,2
H16_A0244,2
H16_A0246,0
H16_A0249,0
H16_A0251,0
H16_A0259,2
H16_A0260,0
H16_A0262,2
H16_A0263,2
H16_A0269,0
H16_A0272,0
H16_A0273,0
H16_A0274,0
H16_A0280,0
H16_A0282,0
H16_A0291,0
H16_A0314,0
H16_A0315,0
H16_A0316,0
H16_A0322,0
H16_A0323,0
H16_A0324,2
H16_A0330,2
H16_A0332,2
H16_A0336,0
H16_A0351,0
H16_A0352,0
H16_A0356,0
H16_A0361,0
H16_A0362,0
H16_A0367,2
H16_A0369,0
H16_A0372,2
H16_A0374,2
H16_A0391,2
H16_A0395,0
H16_A0427,0
H16_A0428,0
H16_A0430,0
H16_A0445,2
H16_A0448,2
H16_A0453,2
H16_A0458,0
H16_A0460,0
H16_A0461,0
H16_A0462,0
H16_A0464,0
H16_A0471,0
H16_A0475,0
H16_A0477,0
H16_A0478,0
H16_A0479,0
H16_A0490,2
H16_A0493,0
H16_A0499,0
H16_A0501,0
H16_A0504,2
H16_A0513,0
H16_A0515,2
H16_A0517,0
H16_A0519,0
H16_A0520,0
H16_A0521,2
H16_A0523,2
H16_A0535,0
